icd_10_code,index
S000,0
S001,1
S002,2
S003,3
S004,4
S005,5
S008,6
S009,7
S010,8
S011,9
S012,10
S013,11
S014,12
S015,13
S018,14
S019,15
S020,16
S021,17
S0210,18
S0211,19
S022,20
S023,21
S0230,22
S0231,23
S024,24
S0240,25
S0241,26
S025,27
S026,28
S0260,29
S0261,30
S028,31
S0280,32
S0281,33
S029,34
S0291,35
S03,36
S030,37
S031,38
S032,39
S033,40
S034,41
S040,42
S041,43
S042,44
S043,45
S044,46
S045,47
S046,48
S047,49
S048,50
S049,51
S050,52
S051,53
S052,54
S053,55
S054,56
S055,57
S056,58
S057,59
S058,60
S059,61
S060,62
S061,63
S062,64
S063,65
S0630,66
S0631,67
S064,68
S065,69
S066,70
S068,71
S0681,72
S069,73
S070,74
S071,75
S078,76
S079,77
S080,78
S081,79
S088,80
S09,81
S090,82
S091,83
S092,84
S098,85
S099,86
S100,87
S101,88
S108,89
S109,90
S110,91
S111,92
S112,93
S118,94
S119,95
S12,96
S120,97
S1200,98
S1201,99
S121,100
S1210,101
S1211,102
S122,103
S1220,104
S128,105
S129,106
S13,107
S130,108
S131,109
S132,110
S134,111
S135,112
S14,113
S140,114
S141,115
S142,116
S143,117
S144,118
S145,119
S150,120
S151,121
S152,122
S153,123
S158,124
S159,125
S16,126
S170,127
S178,128
S179,129
S198,130
S199,131
S20,132
S200,133
S201,134
S202,135
S203,136
S204,137
S21,138
S210,139
S211,140
S212,141
S219,142
S220,143
S2200,144
S2201,145
S222,146
S2220,147
S2221,148
S223,149
S2231,150
S224,151
S2241,152
S225,153
S229,154
S23,155
S230,156
S231,157
S232,158
S233,159
S234,160
S24,161
S240,162
S241,163
S242,164
S243,165
S250,166
S251,167
S252,168
S253,169
S254,170
S255,171
S258,172
S259,173
S26,174
S260,175
S2600,176
S2601,177
S269,178
S2690,179
S2691,180
S270,181
S271,182
S272,183
S273,184
S2730,185
S2731,186
S274,187
S2740,188
S2741,189
S275,190
S2750,191
S276,192
S2760,193
S278,194
S2780,195
S2781,196
S279,197
S280,198
S281,199
S290,200
S298,201
S299,202
S30,203
S300,204
S301,205
S302,206
S308,207
S309,208
S31,209
S310,210
S311,211
S312,212
S313,213
S314,214
S315,215
S318,216
S32,217
S320,218
S3200,219
S3201,220
S321,221
S3210,222
S3211,223
S322,224
S323,225
S3230,226
S3231,227
S324,228
S3240,229
S3241,230
S325,231
S3250,232
S3251,233
S328,234
S3281,235
S33,236
S330,237
S331,238
S332,239
S333,240
S334,241
S335,242
S336,243
S34,244
S340,245
S341,246
S342,247
S343,248
S344,249
S345,250
S346,251
S348,252
S350,253
S351,254
S352,255
S353,256
S354,257
S355,258
S358,259
S359,260
S360,261
S3600,262
S361,263
S3611,264
S362,265
S3620,266
S363,267
S3630,268
S364,269
S3640,270
S3641,271
S365,272
S3650,273
S3651,274
S366,275
S3660,276
S3661,277
S368,278
S3681,279
S369,280
S3690,281
S370,282
S3700,283
S3701,284
S371,285
S3710,286
S372,287
S3720,288
S373,289
S3730,290
S374,291
S3740,292
S375,293
S3750,294
S376,295
S3760,296
S378,297
S3781,298
S379,299
S3790,300
S380,301
S381,302
S382,303
S383,304
S390,305
S398,306
S399,307
S40,308
S400,309
S408,310
S409,311
S410,312
S411,313
S420,314
S4200,315
S4201,316
S421,317
S4210,318
S4211,319
S422,320
S4220,321
S4221,322
S423,323
S4230,324
S4231,325
S424,326
S4240,327
S4241,328
S429,329
S4290,330
S4291,331
S43,332
S430,333
S431,334
S432,335
S433,336
S434,337
S435,338
S436,339
S440,340
S441,341
S442,342
S443,343
S444,344
S445,345
S448,346
S449,347
S450,348
S451,349
S452,350
S453,351
S458,352
S459,353
S460,354
S461,355
S462,356
S463,357
S468,358
S469,359
S47,360
S480,361
S481,362
S489,363
S49,364
S498,365
S499,366
S50,367
S500,368
S501,369
S508,370
S509,371
S510,372
S518,373
S520,374
S5200,375
S5201,376
S521,377
S5210,378
S5211,379
S522,380
S5220,381
S5221,382
S523,383
S5230,384
S5231,385
S525,386
S5250,387
S5251,388
S526,389
S5260,390
S5261,391
S5280,392
S529,393
S5290,394
S5291,395
S530,396
S531,397
S532,398
S533,399
S534,400
S540,401
S541,402
S542,403
S543,404
S548,405
S549,406
S550,407
S551,408
S552,409
S558,410
S559,411
S56,412
S560,413
S561,414
S562,415
S563,416
S564,417
S565,418
S568,419
S570,420
S578,421
S580,422
S581,423
S589,424
S59,425
S598,426
S599,427
S60,428
S600,429
S601,430
S602,431
S608,432
S609,433
S61,434
S610,435
S611,436
S62,437
S620,438
S6200,439
S6201,440
S621,441
S6210,442
S6211,443
S622,444
S6220,445
S6221,446
S623,447
S6230,448
S6231,449
S625,450
S6250,451
S6251,452
S626,453
S6260,454
S6261,455
S63,456
S630,457
S631,458
S632,459
S633,460
S634,461
S635,462
S636,463
S640,464
S641,465
S642,466
S643,467
S644,468
S648,469
S649,470
S650,471
S651,472
S652,473
S653,474
S654,475
S655,476
S658,477
S659,478
S660,479
S661,480
S662,481
S663,482
S664,483
S665,484
S668,485
S669,486
S67,487
S670,488
S68,489
S680,490
S681,491
S684,492
S698,493
S699,494
S70,495
S700,496
S701,497
S709,498
S710,499
S711,500
S720,501
S7200,502
S7201,503
S721,504
S7210,505
S7211,506
S722,507
S7221,508
S723,509
S7230,510
S724,511
S7240,512
S7241,513
S728,514
S729,515
S7290,516
S7291,517
S730,518
S731,519
S740,520
S741,521
S748,522
S749,523
S750,524
S751,525
S752,526
S758,527
S759,528
S76,529
S760,530
S761,531
S762,532
S763,533
S770,534
S771,535
S772,536
S780,537
S781,538
S789,539
S79,540
S798,541
S799,542
S80,543
S800,544
S801,545
S808,546
S809,547
S81,548
S810,549
S818,550
S820,551
S8200,552
S8201,553
S821,554
S8210,555
S8211,556
S822,557
S8220,558
S823,559
S8230,560
S8231,561
S824,562
S8240,563
S825,564
S8251,565
S826,566
S8261,567
S828,568
S8281,569
S829,570
S8290,571
S8291,572
S83,573
S830,574
S831,575
S832,576
S833,577
S834,578
S835,579
S836,580
S840,581
S841,582
S842,583
S848,584
S849,585
S850,586
S851,587
S852,588
S853,589
S854,590
S855,591
S858,592
S859,593
S860,594
S861,595
S862,596
S863,597
S868,598
S869,599
S870,600
S878,601
S880,602
S881,603
S889,604
S89,605
S898,606
S899,607
S90,608
S900,609
S901,610
S902,611
S903,612
S908,613
S909,614
S910,615
S911,616
S912,617
S913,618
S92,619
S920,620
S9200,621
S9201,622
S921,623
S9210,624
S9211,625
S922,626
S9220,627
S9221,628
S923,629
S9230,630
S9231,631
S924,632
S9240,633
S9241,634
S925,635
S9250,636
S9251,637
S9290,638
S9291,639
S930,640
S931,641
S933,642
S934,643
S935,644
S936,645
S941,646
S942,647
S943,648
S948,649
S949,650
S950,651
S951,652
S952,653
S958,654
S959,655
S960,656
S961,657
S962,658
S968,659
S969,660
S970,661
S971,662
S978,663
S98,664
S980,665
S981,666
S982,667
S983,668
S99,669
S998,670
S999,671
T07,672
T148,673
T149,674
T150,675
T151,676
T158,677
T159,678
T16,679
T170,680
T171,681
T172,682
T173,683
T174,684
T175,685
T178,686
T179,687
T180,688
T181,689
T182,690
T183,691
T184,692
T185,693
T188,694
T189,695
T19,696
T190,697
T191,698
T192,699
T198,700
T200,701
T201,702
T202,703
T203,704
T204,705
T205,706
T206,707
T207,708
T210,709
T211,710
T212,711
T213,712
T214,713
T215,714
T216,715
T217,716
T220,717
T221,718
T222,719
T223,720
T224,721
T225,722
T226,723
T227,724
T230,725
T231,726
T232,727
T233,728
T234,729
T235,730
T236,731
T237,732
T240,733
T241,734
T242,735
T243,736
T244,737
T245,738
T246,739
T247,740
T250,741
T251,742
T252,743
T253,744
T254,745
T255,746
T256,747
T257,748
T260,749
T261,750
T262,751
T263,752
T264,753
T265,754
T266,755
T268,756
T269,757
T270,758
T271,759
T272,760
T273,761
T274,762
T275,763
T276,764
T277,765
T280,766
T281,767
T282,768
T283,769
T284,770
T285,771
T286,772
T287,773
T289,774
T300,775
T304,776
T310,777
T311,778
T312,779
T313,780
T314,781
T315,782
T316,783
T317,784
T318,785
T319,786
T320,787
T321,788
T322,789
T323,790
T326,791
T330,792
T333,793
T334,794
T335,795
T336,796
T337,797
T338,798
T339,799
T343,800
T345,801
T346,802
T347,803
T348,804
T349,805
